sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,4.056,0.437
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,2.222,0.711
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad,4.333,0.527
test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,1.0,content_diversity,he was then killed,he was then put into prison,the war ended,it was gruesome,that was part of war,3.667,0.471
test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",0.0,content_diversity,we also cook,we decided to use the kitchen,we prepare some meals,we use our cooking skills,we make some dishes,2.062,0.464
test.sa-sb.sa-b::00825,It any business you have to keep track of your resources. I was helping a friend inventory his business. He could name every part number in his inventory from memory. I asked him to give me a list of his employees.,1.0,content_diversity,He had a hard time recollecting.,He new every name and their birthdays.,He could not name them without looking at his files.,He named them all off the top of his head.,He could not remember the names of his employees.,3.167,0.527
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,1.0,content_diversity,He called all his friends to tell them.,He was so happy he cried.,He realized he didn't really like acting very much so he quit.,His family was so proud they threw him a party.,His friend was jealous and they drifted apart.,4.562,0.464
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,0.0,content_diversity,He went home and told everyone he knew.,He was so excited that he called a ton of people to tell them.,He had to let everyone know asap.,Ben was super excited to share the news.,Ben had a great evening letting everyone know.,1.778,0.416
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,We looked forward to the rest of the series.,This series would be discontinued.,The book was a fun way for us to connect.,I performed the characters using different voices to entertain her.,This would become her favorite book.,4.278,0.583
test.sa-sb.sa-b::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,1.0,content_diversity,she said thank you,we continue practicing,she decided we should get ice cream,we had lots of fun,she teach me some foreign language too,4.111,0.657
test.sa-sb.sa-b::00861,"My dad bought some nonalcoholic beer. Since it didn't have alcohol, I asked him if I could try it. He told me I wouldn't like it. I tried it, and made a terrible face.",0.0,content_diversity,I asked dad why he bought nonalcoholic beer.,"It tasted so bad, I asked my dad why he purchased it.",Why did dad buy this?,I wanted to know why dad bought nonalcoholic.,Why would he buy this kind of beer?,1.833,0.471
test.sa-sb.sa-b::00871,"My wife and went to the movies in 1981. We saw the first movie. My wife did not like the second, Harold and Maude, and we left. Yesterday I saw the movie on DVR while my wife was at work.",1.0,content_diversity,I like it,I did not like it either,it was funny,it was not funny,it was not the same on tv,3.500,0.802
test.sa-sb.sa::00681,Sean's car started overheating. He remembered a trick to cool it down. He turned on his heater to max. It helped keep the car going until he got to a mechanic.,0.0,content_diversity,Sean decided to replace his old car with a new one,He purchased another car,"After that incident, he decided it's time to get a new car","To avoid problems in future, he decided to buy a new car",He replaced his old vehicle with a new one,2.062,0.916
